"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\USER\Desktop\stend\routes\autorization.js", "JavaScript", -7, 0, -2, -9
"c:\Users\USER\Desktop\stend\routes\devices.js", "JavaScript", -20, 0, -3, -23
"c:\Users\USER\Desktop\stend\routes\gateways.js", "JavaScript", -14, 0, -4, -18
"c:\Users\USER\Desktop\stend\routes\user.js", "JavaScript", -10, 0, -4, -14
"c:\Users\USER\Desktop\stend\storages\deviceStorage.js", "JavaScript", 40, 0, 8, 48
"c:\Users\USER\Desktop\stend\storages\gatewayStorage.js", "JavaScript", 32, 0, 7, 39
"c:\Users\USER\Desktop\stend\storages\index.js", "JavaScript", 16, 1, 4, 21
"c:\Users\USER\Desktop\stend\storages\userStorage.js", "JavaScript", 57, 0, 13, 70
"Total", "-", 94, 1, 19, 114
