"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\USER\Desktop\stend\models\Device.js", "JavaScript", -61, 0, -10, -71
"c:\Users\USER\Desktop\stend\models\Gateway.js", "JavaScript", -42, -1, -14, -57
"c:\Users\USER\Desktop\stend\models\User.js", "JavaScript", -44, 0, -5, -49
"c:\Users\USER\Desktop\stend\routes\autorization.js", "JavaScript", 7, 0, 2, 9
"c:\Users\USER\Desktop\stend\routes\devices.js", "JavaScript", 20, 0, 3, 23
"c:\Users\USER\Desktop\stend\routes\gateways.js", "JavaScript", 14, 0, 4, 18
"c:\Users\USER\Desktop\stend\routes\user.js", "JavaScript", 10, 0, 4, 14
"Total", "-", -96, -1, -16, -113
