"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\USER\Desktop\stend\gateways\ble.js", "JavaScript", -7, 0, -3, -10
"c:\Users\USER\Desktop\stend\gateways\ethernet.js", "JavaScript", -7, 0, -3, -10
"c:\Users\USER\Desktop\stend\gateways\gateway.js", "JavaScript", -71, 0, -8, -79
"c:\Users\USER\Desktop\stend\gateways\wifi.js", "JavaScript", -7, 0, -2, -9
"c:\Users\USER\Desktop\stend\models\Device.js", "JavaScript", 61, 0, 10, 71
"c:\Users\USER\Desktop\stend\models\Gateway.js", "JavaScript", 42, 1, 14, 57
"c:\Users\USER\Desktop\stend\models\User.js", "JavaScript", 44, 0, 5, 49
"Total", "-", 55, 1, 13, 69
