"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\USER\Desktop\stend\storages\deviceStorage.js", "JavaScript", -40, 0, -8, -48
"c:\Users\USER\Desktop\stend\storages\gatewayStorage.js", "JavaScript", -32, 0, -7, -39
"c:\Users\USER\Desktop\stend\storages\index.js", "JavaScript", -16, -1, -4, -21
"c:\Users\USER\Desktop\stend\storages\userStorage.js", "JavaScript", -57, 0, -13, -70
"c:\Users\USER\Desktop\stend\utils\checkApiToken.js", "JavaScript", 15, 0, 1, 16
"c:\Users\USER\Desktop\stend\utils\checkAuth.js", "JavaScript", 19, 0, 2, 21
"c:\Users\USER\Desktop\stend\utils\checkPersonalBroker.js", "JavaScript", 17, 0, 1, 18
"Total", "-", -94, -1, -28, -123
